#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,matrixMulRegister
1,0000000b 00e72300,"      MOV R1, c[0x0][0x28]",0,9,20,Movement,2048,32,,,,,,,,,
2,0000000b 00e72310,"      S2R R39, SR_CTAID.X",0,10,,Miscellaneous,2048,32,,,,,,,,,
3,0000000b 00e72320,"      S2R R0, SR_TID.X",0,11,1,Miscellaneous,2048,32,,,,,,,,,
4,0000000b 00e72330,"      S2R R3, SR_CTAID.Y",0,12,1,Miscellaneous,2048,32,,,,,,,,,
5,0000000b 00e72340,"      S2R R2, SR_TID.Y",0,13,1,Miscellaneous,2048,32,,,,,,,,,
6,0000000b 00e72350,"      LEA R39, R39, R0, 0x5",0,13,7,Integer,2048,32,,,,,,,,,
7,0000000b 00e72360,"      IADD3 R4, R39, R0, RZ",0,14,7,Integer,2048,32,,,,,,,,,
8,0000000b 00e72370,"      LEA R38, R3, R2, 0x5",0,15,1,Integer,2048,32,,,,,,,,,
9,0000000b 00e72380,"      ISETP.GE.AND P0, PT, R4, c[0x0][0x17c], PT",0,14,21,Integer,2048,32,,,,,,,,,
10,0000000b 00e72390,"      IADD3 R3, R38, R2, RZ",0,14,1,Integer,2048,32,,,,,,,,,
11,0000000b 00e723a0,"      ISETP.GE.OR P0, PT, R3, c[0x0][0x178], P0",0,14,8,Integer,2048,32,,,,,,,,,
12,0000000b 00e723b0,@P0   EXIT,0,13,8,Control,2048,,,,,,,,,,
13,0000000b 00e723c0,"      ULDC UR4, c[0x0][0x180]",0,13,,Uniform Datapath,2048,32,,,,,,,,,
14,0000000b 00e723d0,"      IADD3 R3, R39, 0x1, RZ",0,14,,Integer,2048,32,,,,,,,,,
15,0000000b 00e723e0,"      UISETP.GE.AND UP0, UPT, UR4, 0x1, UPT",0,14,1,Uniform Datapath,2048,32,,,,,,,,,
16,0000000b 00e723f0,"      IADD3 R4, R39, 0x2, RZ",0,15,1,Integer,2048,32,,,,,,,,,
17,0000000b 00e72400,"      ULDC.64 UR6, c[0x0][0x118]",0,15,2,Uniform Datapath,2048,32,,,,,,,,,
18,0000000b 00e72410,"      ISETP.GE.AND P3, PT, R39, c[0x0][0x17c], PT",0,15,,Integer,2048,32,,,,,,,,,
19,0000000b 00e72420,"      CS2R R40, SRZ",0,17,,Miscellaneous,2048,32,,,,,,,,,
20,0000000b 00e72430,"      ISETP.GE.AND P1, PT, R3, c[0x0][0x17c], PT",0,17,,Integer,2048,32,,,,,,,,,
21,0000000b 00e72440,"      CS2R R30, SRZ",0,18,1,Miscellaneous,2048,32,,,,,,,,,
22,0000000b 00e72450,"      PLOP3.LUT P2, PT, PT, PT, UP0, 0x80, 0x0",0,18,1,Predicate,2048,32,,,,,,,,,
23,0000000b 00e72460,"      CS2R R44, SRZ",0,20,2,Miscellaneous,2048,32,,,,,,,,,
24,0000000b 00e72470,"      ISETP.GE.AND P0, PT, R4, c[0x0][0x17c], PT",0,20,,Integer,2048,32,,,,,,,,,
